Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,GDP per capita,Population (historical),Continent,Health Expenditure,life_Category,Health_Expenditure_Category,GDP_Category,Population_Category
Madagascar,MDG,2019.0,65.9,1434.2703,28219558.0,Africa,62.421085,Low,Low,Low,High
Malawi,MWI,2019.0,64.1,1205.477,19025748.0,Africa,81.26127,Low,Low,Low,High
Malaysia,MYS,2019.0,75.8,25986.412,33440588.0,Asia,1107.5842,High,High,High,High
Mali,MLI,2019.0,59.7,1706.0105,21068406.0,Africa,89.7766,Low,Low,Low,High
Malta,MLT,2019.0,83.2,33220.285,504017.0,Europe,4474.873,Very High,Very High,Very High,Low
Mauritania,MRT,2019.0,65.7,3659.103,4467714.0,Africa,192.36057,Low,Low,Low,Medium
Mauritius,MUS,2019.0,75.1,21624.842,1286269.0,Africa,1443.1691,High,High,High,Low
Mexico,MEX,2019.0,74.2,16802.014,125762977.0,North America,1103.3066,High,High,High,Very High
Moldova,MDA,2019.0,70.9,7078.23,3112563.0,Europe,859.31854,Medium,Medium,Medium,Low
Mongolia,MNG,2019.0,71.8,13871.33,3232119.0,Asia,540.2756,Medium,Medium,High,Low
Montenegro,MNE,2019.0,77.0,20448.549,611673.0,Europe,1896.5116,High,High,High,Low
Morocco,MAR,2019.0,74.3,8540.804,36210907.0,Africa,430.97742,High,Medium,Medium,Very High
Mozambique,MOZ,2019.0,61.2,1118.6304,29884376.0,Africa,106.52948,Low,Low,Low,High
Myanmar,MMR,2019.0,66.6,6140.885,52640718.0,Asia,235.50851,Medium,Medium,Medium,Very High
Namibia,NAM,2019.0,63.1,8567.793,2650500.0,Africa,881.6004,Low,High,Medium,Low
Nepal,NPL,2019.0,69.6,2953.5603,28414066.0,Asia,181.71957,Medium,Low,Low,High
Netherlands,NLD,2019.0,82.0,48142.67,17537506.0,Europe,6004.984,Very High,Very High,Very High,High
New Zealand,NZL,2019.0,82.6,36912.074,4989412.0,Oceania,4337.69,Very High,Very High,Very High,Medium
Nicaragua,NIC,2019.0,74.1,4721.7275,6483660.0,North America,477.7302,Medium,Medium,Medium,Medium
Niger,NER,2019.0,62.9,964.32434,22947765.0,Africa,71.903076,Low,Low,Low,High
Nigeria,NGA,2019.0,52.9,5197.0825,209485636.0,Africa,157.96266,Low,Low,Medium,Very High
North Macedonia,MKD,2019.0,77.3,13751.228,1897643.0,Europe,1217.9467,High,High,High,Low
Norway,NOR,2019.0,83.0,85115.32,5347735.0,Europe,7064.004,Very High,Very High,Very High,Medium
Oman,OMN,2019.0,78.0,48596.527,4591247.0,Asia,1341.5408,High,High,Very High,Medium
Pakistan,PAK,2019.0,66.8,5219.534,230800909.0,Asia,155.49756,Medium,Low,Medium,Very High
Panama,PAN,2019.0,77.8,23218.432,4234699.0,North America,2738.1274,High,Very High,High,Medium
Paraguay,PRY,2019.0,73.6,8776.076,6515060.0,South America,1016.2749,Medium,High,Medium,Medium
Peru,PER,2019.0,76.2,12680.354,32449301.0,South America,698.8035,High,Medium,High,High
Philippines,PHL,2019.0,71.9,8602.1455,110804685.0,Asia,379.195,Medium,Medium,Medium,Very High
Poland,POL,2019.0,77.9,29142.023,38225884.0,Europe,2178.462,High,High,Very High,Very High
Portugal,PRT,2019.0,81.7,28056.057,10343218.0,Europe,3444.5684,Very High,Very High,Very High,Medium
Qatar,QAT,2019.0,81.0,150732.22,2797927.0,Asia,3324.1187,Very High,Very High,Very High,Low
Romania,ROU,2019.0,76.5,23267.516,19501543.0,Europe,1825.2283,High,High,High,High
Russia,RUS,2019.0,73.9,25244.12,146533063.0,Europe,1704.5647,Medium,High,High,Very High
Rwanda,RWA,2019.0,66.4,2042.8529,12776104.0,Africa,144.59143,Low,Low,Low,High
Saint Lucia,LCA,2019.0,73.4,10977.819,177674.0,North America,702.8055,Medium,Medium,Medium,Low
Sao Tome and Principe,STP,2019.0,68.5,3781.2275,213404.0,Africa,216.89584,Medium,Low,Low,Low
Senegal,SEN,2019.0,68.5,2559.8176,16352926.0,Africa,161.0826,Medium,Low,Low,High
Serbia,SRB,2019.0,76.7,15293.246,6966154.0,Europe,1626.7286,High,High,High,Medium
Seychelles,SYC,2019.0,74.2,32745.871,117662.0,Africa,1396.2738,High,High,Very High,Low
Sierra Leone,SLE,2019.0,60.3,1707.3713,7731995.0,Africa,152.66757,Low,Low,Low,Medium
Singapore,SGP,2019.0,83.8,74649.734,5669562.0,Asia,4415.9277,Very High,Very High,Very High,Medium
Slovakia,SVK,2019.0,77.7,27429.225,5450626.0,Europe,2222.467,High,High,High,Medium
